Facets,facet_name_clean,category,scoreable,evaluation_difficulty,requires_full_context,score_anchor_low,score_anchor_high,cluster_id
Comparing alphanumeric data,Comparing alphanumeric data,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,11
Big-heartedness,Big-heartedness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Compulsive activities,Compulsive activities,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Disrespect,Disrespect,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
FSH level,FSH level,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Self Perspective,Self Perspective,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Desperation,Desperation,other,True,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Affiliation Motivation:,Affiliation Motivation,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",3
Anatomy knowledge,Anatomy knowledge,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Passive-Aggressive,Passive-Aggressive,safety,True,easy,False,"shows harmful, deceptive, hostile, or unsafe behavior","is respectful, honest, and behaviorally safe",5
Presence of Spiritual Pain,Presence of Spiritual Pain,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Role of Spirituality in Community Involvement,Role of Spirituality in Community Involvement,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Structure,Structure,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",0
Eco-tourism trips,Eco-tourism trips,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Chivalrousness,Chivalrousness,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",4
Pilgrimage participation count,Pilgrimage participation count,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Mindfulness facet: Observing,Mindfulness facet: Observing,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Submissiveness,Submissiveness,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",1
Training-cycle length,Training-cycle length,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,11
Sensitiveness,Sensitiveness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Negative Affect Frequency,Negative Affect Frequency,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Innovation and Creativity Components:,Innovation and Creativity Components,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Achievement Motivation:,Achievement Motivation,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Feedback-giving frequency,Feedback-giving frequency,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Dance-cardio sessions,Dance-cardio sessions,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Enthusiasm,Enthusiasm,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",10
Psychological construct: Social Desirability tendency,Psychological construct: Social Desirability tendency,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",2
Inattentiveness,Inattentiveness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Unassertiveness,Unassertiveness,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",4
Decision-making decisiveness,Decision-making decisiveness,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",10
Sense-of-coherence score,Sense-of-coherence score,other,True,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
Justice-mindedness,Justice-mindedness,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",3
Subscription count,Subscription count,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Depression Symptoms,Depression Symptoms,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Spatial perception,Spatial perception,other,False,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Brevity,Brevity,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",4
Orderliness,Orderliness,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",4
Multiculturalism,Multiculturalism,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Creative risk-taking tendency,Creative risk-taking tendency,personality,False,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",-1
Inefficiency,Inefficiency,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Network basics,Network basics,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,7
Alphabetical filing skills,Alphabetical filing skills,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",13
Work Styles,Work Styles,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Character strength: Perseverance,Character strength: Perseverance,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",3
Competition,Competition,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Logical Sequence Identification,Logical Sequence Identification,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",0
Sustainable-transport usage,Sustainable-transport usage,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Hardworking,Hardworking,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,emotion,False,hard,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,-1
Dishonesty,Dishonesty,safety,True,easy,False,"shows harmful, deceptive, hostile, or unsafe behavior","is respectful, honest, and behaviorally safe",3
Preferred epistemology,Preferred epistemology,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",0
Memory for Sounds,Memory for Sounds,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Sportsmanship rating,Sportsmanship rating,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",10
Immaturity,Immaturity,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
Health-literacy level,Health-literacy level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Estimating Calculations,Estimating Calculations,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,11
Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness,emotion,True,medium,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,14
Synthesis of information,Synthesis of information,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",13
Leadership Potential:,Leadership Potential,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",10
Ethical standards,Ethical standards,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
High-spiritedness,High-spiritedness,emotion,True,medium,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,3
Critical reasoning,Critical reasoning,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",0
Sleep-disorder diagnosis,Sleep-disorder diagnosis,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Listening Skills Subcomponents:,Listening Skills Subcomponents,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",12
Collaboration,Collaboration,social,True,medium,True,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",10
Precision of Movements,Precision of Movements,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",11
Social Boldness,Social Boldness,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",2
Auditory memory,Auditory memory,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",12
Psychomotor Ability Subcomponents:,Psychomotor Ability Subcomponents,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Organized lifestyle,Organized lifestyle,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Skill-endorsements count,Skill-endorsements count,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Mysteriousness,Mysteriousness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Cultural Identity,Cultural Identity,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,2
Intrinsic Motivation,Intrinsic Motivation,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Impartial-mindedness,Impartial-mindedness,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",3
Burnout Symptoms,Burnout Symptoms,emotion,True,medium,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,14
Holiness,Holiness,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Selfcontrol,Selfcontrol,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",3
SelfDirectedness,SelfDirectedness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Encouraging participation,Encouraging participation,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Impracticalness,Impracticalness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Meeting Deadlines,Meeting Deadlines,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,8
Data Analysis,Data Analysis,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",13
Social Interaction Skills,Social Interaction Skills,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",2
Psychoticism,Psychoticism,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Ethical leadership rating,Ethical leadership rating,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",1
Slothfulness,Slothfulness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Happiness,Happiness,emotion,True,medium,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,5
Contentment Levels,Contentment Levels,emotion,True,medium,True,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,13
Neuroticism,Neuroticism,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Desire for excellence,Desire for excellence,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Perceiving,Perceiving,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",0
Liberalism,Liberalism,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Inversion comfort level,Inversion comfort level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Affection,Affection,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
Numeric Filing Skills,Numeric Filing Skills,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,11
Martyrdom,Martyrdom,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Parathyroid-hormone level,Parathyroid-hormone level,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Seeking approval,Seeking approval,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Judging (J):,Judging (J),other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
Big Five facet Openness – Artistic Interests,Big Five facet Openness – Artistic Interests,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",4
Psychological construct: Operant-Learning rate,Psychological construct: Operant-Learning rate,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",9
Psychological construct: Need for Achievement level,Psychological construct: Need for Achievement level,cognitive,True,medium,True,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",9
Cantankerousness,Cantankerousness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Material properties knowledge,Material properties knowledge,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Hostility,Hostility,safety,True,easy,False,"shows harmful, deceptive, hostile, or unsafe behavior","is respectful, honest, and behaviorally safe",5
Independence,Independence,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
800. Sufi practice: Sufi retreat attendance count,Sufi practice: Sufi retreat attendance count,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Chromatin-accessibility score,Chromatin-accessibility score,other,True,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,11
644. Spiritual virtue: Humility practice index,Spiritual virtue: Humility practice index,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
754. I Ching hexagram 36 resonance level,I Ching hexagram 36 resonance level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Well-being component: Engagement,Well-being component: Engagement,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Need for social interaction,Need for social interaction,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",2
Peer-collaboration hours,Peer-collaboration hours,social,True,medium,True,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",8
Arts and Humanities,Arts and Humanities,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
596. Religious practice: Quran khatam cycles per year,Religious practice: Quran khatam cycles per year,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
926. Bahá’í spiritual metric: Ridván festival participation,Bahá’í spiritual metric: Ridván festival participation,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Compassion,Compassion,personality,True,hard,False,shows little or no evidence of the trait in the conversation,"consistently shows strong, clear evidence of the trait in the conversation",3
Information Retention,Information Retention,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,12
Eye-contact duration,Eye-contact duration,other,True,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,11
Self-righteousness,Self-righteousness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
General Mood and Attitude,General Mood and Attitude,biological,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Serotonin transporter availability,Serotonin transporter availability,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Contribution to Group Goals,Contribution to Group Goals,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Dignity,Dignity,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
HEXACO Personality Inventory Facets:,HEXACO Personality Inventory Facets,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Evaluating Solutions,Evaluating Solutions,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Input,Input,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Discreteness,Discreteness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
607. Energy-healing practice: Reiki sessions / year,Energy-healing practice: Reiki sessions / year,lifestyle,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
692. Astrology: Rising sign is Scorpio,Astrology: Rising sign is Scorpio,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,2
Character strength: Social Intelligence,Character strength: Social Intelligence,social,True,medium,False,"shows little cooperation, civility, or social awareness","shows strong cooperation, civility, and social awareness",2
Bravery,Bravery,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Childhood Experiences,Childhood Experiences,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Data-sharing consent level,Data-sharing consent level,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Vision-check frequency,Vision-check frequency,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Physical-violence exposure,Physical-violence exposure,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Macronutrient ratio: fat,Macronutrient ratio: fat,other,True,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,6
Cooking and Culinary Arts,Cooking and Culinary Arts,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Language use,Language use,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",0
Dance-style mastery diversity,Dance-style mastery diversity,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Satya Adherence,Satya Adherence,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Ethnocentrism,Ethnocentrism,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,3
Emotional Boundaries,Emotional Boundaries,emotion,True,medium,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,1
Creativity in solutions,Creativity in solutions,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Psychological construct: Hope scale,Psychological construct: Hope scale,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",14
565. Practice frequency: Walking meditation,Practice frequency: Walking meditation,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Depression (DEP),Depression (DEP),other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,14
Understanding Mathematical Concepts,Understanding Mathematical Concepts,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,7
Hypomania (Ma),Hypomania (Ma),other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Goal-Directed Behavior,Goal-Directed Behavior,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Depth of Emotional Connections,Depth of Emotional Connections,emotion,True,medium,False,shows little emotional expression or emotional relevance,shows strong and appropriate emotional expression,2
Binding foundations index,Binding foundations index,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Ego Dissolution Frequency,Ego Dissolution Frequency,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
Activator: Turning thoughts into action,Activator: Turning thoughts into action,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
967. Gnostic spiritual metric: Archon meditation frequency,Gnostic spiritual metric: Archon meditation frequency,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Exemplariness,Exemplariness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Moral and Ethical Parameters:,Moral and Ethical Parameters,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
Submission:,Submission,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Frankness,Frankness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Psychological construct: Psychological Safety climate,Psychological construct: Psychological Safety climate,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",14
Psychological construct: Self-Compassion total,Psychological construct: Self-Compassion total,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",3
Psychological construct: Executive-Function composite,Psychological construct: Executive-Function composite,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",9
Rebelliousness,Rebelliousness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,5
Volunteer Work,Volunteer Work,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,10
Intellect,Intellect,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,2
Use of Mathematical Formulas,Use of Mathematical Formulas,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,7
Coarseness,Coarseness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Behavioral Tendencies and Subcomponents:,Behavioral Tendencies and Subcomponents,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,9
Sensitivity,Sensitivity,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,0
Divided Attention Ability,Divided Attention Ability,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,11
Psychological construct: Acculturative Stress score,Psychological construct: Acculturative Stress score,cognitive,True,medium,True,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",14
Dauntlessness,Dauntlessness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Concreteness,Concreteness,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
Hysteria (Hy),Hysteria (Hy),other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,4
911. Jewish spiritual metric: Sukkot lulav-shaking days,Jewish spiritual metric: Sukkot lulav-shaking days,spiritual,False,hard,True,cannot be inferred from the conversation text,cannot be inferred from the conversation text,-1
Sentence Structure,Sentence Structure,linguistic,True,easy,False,shows frequent language or structure problems,"is clear, polished, and linguistically strong",0
Esteem Needs,Esteem Needs,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,1
Understanding mechanical concepts,Understanding mechanical concepts,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,7
Auditory Memory Recall,Auditory Memory Recall,cognitive,True,medium,False,"shows weak reasoning, organization, or analytical depth","shows strong reasoning, organization, and analytical depth",12
Storytelling proficiency,Storytelling proficiency,other,True,hard,False,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,13
Music-lessons years,Music-lessons years,other,False,hard,True,shows little or no evidence of the facet in the conversation,shows strong evidence of the facet in the conversation,-1
